Name,Value,Date
Dorty,2240.00,20.08.2023
Káva,6656.50,20.08.2023
Nealko,4336.00,20.08.2023
Alkohol,364.00,20.08.2023
Ostatní základní sazba,20.00,20.08.2023
Koktejly,1566.00,21.08.2023
Nealko koktejly a vina,404.00,21.08.2023
Zmrzlina,1645.00,21.08.2023
Dorty,1870.00,21.08.2023
Káva,3116.00,21.08.2023
Nealko,1771.00,21.08.2023
Alkohol,218.00,21.08.2023
Teplé nealko,59.00,21.08.2023
Ostatní základní sazba,10.00,21.08.2023
Koktejly,1813.00,22.08.2023
Nealko koktejly a vina,404.00,22.08.2023
Zmrzlina,2400.00,22.08.2023
Dorty,2538.00,22.08.2023
Káva,3842.00,22.08.2023
Nealko,2641.00,22.08.2023
Alkohol,250.00,22.08.2023
Ostatní základní sazba,10.00,22.08.2023
Slané,425.00,23.08.2023
Koktejly,1199.00,23.08.2023
Nealko koktejly a vina,210.00,23.08.2023
Zmrzlina,945.00,23.08.2023
Dorty,2136.00,23.08.2023
Káva,4033.30,23.08.2023
Nealko,2730.00,23.08.2023
Alkohol,512.00,23.08.2023
Ostatní základní sazba,10.00,23.08.2023
Slané,170.00,24.08.2023
Koktejly,1087.00,24.08.2023
Zmrzlina,2010.00,24.08.2023
Dorty,2581.00,24.08.2023
Káva,5386.00,24.08.2023
Nealko,1814.00,24.08.2023
Koktejly,1467.00,25.08.2023
Nealko koktejly a vina,373.00,25.08.2023
Zmrzlina,2035.00,25.08.2023
Dorty,1810.00,25.08.2023
Káva,5374.00,25.08.2023
Nealko,3116.00,25.08.2023
Alkohol,175.00,25.08.2023
Teplé nealko,59.00,25.08.2023
Slané,129.00,26.08.2023
Koktejly,2248.00,26.08.2023
Nealko koktejly a vina,801.00,26.08.2023
Zmrzlina,2625.00,26.08.2023
Dorty,5133.00,26.08.2023
Káva,8801.00,26.08.2023
Nealko,4547.00,26.08.2023
Alkohol,556.00,26.08.2023
Koktejly,1587.75,27.08.2023
Nealko koktejly a vina,778.00,27.08.2023
Zmrzlina,3515.00,27.08.2023
Dorty,4794.00,27.08.2023
Káva,9875.20,27.08.2023
Nealko,4812.05,27.08.2023
Alkohol,267.00,27.08.2023
Ostatní základní sazba,10.00,27.08.2023
Koktejly,1635.00,28.08.2023
Nealko koktejly a vina,550.00,28.08.2023
Zmrzlina,805.00,28.08.2023
Dorty,2537.00,28.08.2023
Káva,2750.00,28.08.2023
Nealko,1840.00,28.08.2023
Alkohol,245.00,28.08.2023
Koktejly,654.00,29.08.2023
Zmrzlina,70.00,29.08.2023
Dorty,890.00,29.08.2023
Káva,697.00,29.08.2023
Nealko,228.00,29.08.2023
Alkohol,98.00,29.08.2023
Koktejly,1021.00,30.08.2023
Zmrzlina,245.00,30.08.2023
Dorty,1335.00,30.08.2023
Káva,2631.00,30.08.2023
Nealko,569.00,30.08.2023
Alkohol,278.00,30.08.2023
Slané,347.00,31.08.2023
Koktejly,663.00,31.08.2023
Nealko koktejly a vina,299.00,31.08.2023
Zmrzlina,490.00,31.08.2023
Dorty,2522.00,31.08.2023
Káva,3526.00,31.08.2023
Nealko,1160.00,31.08.2023
Alkohol,49.00,31.08.2023
Teplé nealko,59.00,31.08.2023
Slané,129.00,01.09.2023
Koktejly,2665.00,01.09.2023
Nealko koktejly a vina,388.00,01.09.2023
Zmrzlina,1120.00,01.09.2023
Dorty,5785.00,01.09.2023
Káva,6049.00,01.09.2023
Nealko,1569.00,01.09.2023
Alkohol,407.00,01.09.2023
Teplé nealko,236.00,01.09.2023
Nezaplaceno,596.00,01.09.2023
Slané,79.00,02.09.2023
Koktejly,2287.00,02.09.2023
Nealko koktejly a vina,358.00,02.09.2023
Zmrzlina,1825.00,02.09.2023
Dorty,4466.00,02.09.2023
Káva,8815.00,02.09.2023
Nealko,3918.00,02.09.2023
Alkohol,798.00,02.09.2023
Slané,255.00,03.09.2023
Koktejly,1842.00,03.09.2023
Nealko koktejly a vina,359.00,03.09.2023
Zmrzlina,1300.00,03.09.2023
Dorty,6720.00,03.09.2023
Káva,8748.00,03.09.2023
Nealko,3279.00,03.09.2023
Alkohol,326.00,03.09.2023
Teplé nealko,118.00,03.09.2023
Ostatní základní sazba,10.00,03.09.2023
Koktejly,991.00,04.09.2023
Nealko koktejly a vina,551.00,04.09.2023
Zmrzlina,1280.00,04.09.2023
Dorty,2063.00,04.09.2023
Káva,4016.00,04.09.2023
Nealko,967.00,04.09.2023
Koktejly,555.00,05.09.2023
Zmrzlina,1545.00,05.09.2023
Dorty,1691.00,05.09.2023
Káva,2910.00,05.09.2023
Nealko,933.00,05.09.2023
Alkohol,354.00,05.09.2023
Slané,299.00,06.09.2023
Koktejly,664.00,06.09.2023
Nealko koktejly a vina,178.00,06.09.2023
Zmrzlina,1365.00,06.09.2023
Dorty,3625.60,06.09.2023
Káva,4710.80,06.09.2023
Nealko,1777.00,06.09.2023
Alkohol,147.00,06.09.2023
Teplé nealko,118.00,06.09.2023
Slané,79.00,07.09.2023
Koktejly,2029.00,07.09.2023
Nealko koktejly a vina,550.00,07.09.2023
Zmrzlina,1705.00,07.09.2023
Dorty,2700.00,07.09.2023
Káva,4799.00,07.09.2023
Nealko,1507.00,07.09.2023
Alkohol,260.00,07.09.2023
Slané,170.00,08.09.2023
Koktejly,1099.00,08.09.2023
Nealko koktejly a vina,493.00,08.09.2023
Zmrzlina,945.00,08.09.2023
Dorty,2225.00,08.09.2023
Káva,5538.00,08.09.2023
Nealko,2144.00,08.09.2023
Alkohol,753.00,08.09.2023
Teplé nealko,59.00,08.09.2023
Slané,170.00,09.09.2023
Koktejly,2274.00,09.09.2023
Nealko koktejly a vina,747.00,09.09.2023
Zmrzlina,2390.00,09.09.2023
Dorty,4747.00,09.09.2023
Káva,8389.00,09.09.2023
Nealko,2287.00,09.09.2023
Alkohol,485.00,09.09.2023
Slané,384.00,10.09.2023
Koktejly,861.00,10.09.2023
Nealko koktejly a vina,315.00,10.09.2023
Zmrzlina,4115.00,10.09.2023
Dorty,6144.00,10.09.2023
Káva,10852.00,10.09.2023
Nealko,4044.00,10.09.2023
Alkohol,158.00,10.09.2023
Teplé nealko,59.00,10.09.2023
Koktejly,704.00,11.09.2023
Nealko koktejly a vina,388.00,11.09.2023
Zmrzlina,1060.00,11.09.2023
Dorty,2241.00,11.09.2023
Káva,4413.00,11.09.2023
Nealko,2076.00,11.09.2023
Alkohol,245.00,11.09.2023
Teplé nealko,59.00,11.09.2023
Slané,85.00,14.09.2023
Koktejly,1229.00,14.09.2023
Nealko koktejly a vina,89.00,14.09.2023
Zmrzlina,515.00,14.09.2023
Dorty,2225.00,14.09.2023
Káva,3056.00,14.09.2023
Nealko,274.00,14.09.2023
Alkohol,49.00,14.09.2023
Teplé nealko,59.00,14.09.2023
Koktejly,436.00,15.09.2023
Nealko koktejly a vina,89.00,15.09.2023
Zmrzlina,1580.00,15.09.2023
Dorty,2879.00,15.09.2023
Káva,4831.00,15.09.2023
Nealko,1424.00,15.09.2023
Alkohol,360.00,15.09.2023
Teplé nealko,236.00,15.09.2023
Slané,170.00,16.09.2023
Koktejly,3393.00,16.09.2023
Nealko koktejly a vina,658.00,16.09.2023
Zmrzlina,2010.00,16.09.2023
Dorty,6142.00,16.09.2023
Káva,9396.00,16.09.2023
Nealko,4697.00,16.09.2023
Alkohol,473.00,16.09.2023
Teplé nealko,59.00,16.09.2023
Slané,299.00,17.09.2023
Koktejly,1961.00,17.09.2023
Nealko koktejly a vina,210.00,17.09.2023
Zmrzlina,3365.00,17.09.2023
Dorty,5593.00,17.09.2023
Káva,9869.00,17.09.2023
Nealko,3981.00,17.09.2023
Alkohol,218.00,17.09.2023
Ostatní základní sazba,10.00,17.09.2023
Slané,79.00,19.09.2023
Dorty,623.00,19.09.2023
Káva,1256.00,19.09.2023
Nealko,431.00,19.09.2023
Alkohol,49.00,19.09.2023
Teplé nealko,59.00,19.09.2023
Koktejly,1130.00,20.09.2023
Zmrzlina,1260.00,20.09.2023
Dorty,2048.00,20.09.2023
Káva,4133.00,20.09.2023
Nealko,2030.00,20.09.2023
Alkohol,409.00,20.09.2023
Teplé nealko,177.00,20.09.2023
Nezaplaceno,1960.00,20.09.2023
Koktejly,545.00,21.09.2023
Zmrzlina,605.00,21.09.2023
Dorty,2314.00,21.09.2023
Káva,4790.00,21.09.2023
Nealko,884.00,21.09.2023
Slané,214.00,22.09.2023
Koktejly,654.00,22.09.2023
Zmrzlina,385.00,22.09.2023
Dorty,2923.00,22.09.2023
Káva,3491.00,22.09.2023
Nealko,873.00,22.09.2023
Alkohol,98.00,22.09.2023
Teplé nealko,59.00,22.09.2023
Ostatní základní sazba,20.00,22.09.2023
Slané,214.00,23.09.2023
Koktejly,337.00,23.09.2023
Zmrzlina,140.00,23.09.2023
Dorty,1602.00,23.09.2023
Káva,2907.00,23.09.2023
Nealko,810.00,23.09.2023
Alkohol,458.00,23.09.2023
Teplé nealko,59.00,23.09.2023
Ostatní základní sazba,10.00,23.09.2023
Slané,170.00,24.09.2023
Koktejly,912.00,24.09.2023
Zmrzlina,140.00,24.09.2023
Dorty,2418.00,24.09.2023
Káva,3976.00,24.09.2023
Nealko,1075.00,24.09.2023
Teplé nealko,295.00,24.09.2023
Koktejly,425.00,25.09.2023
Zmrzlina,770.00,25.09.2023
Dorty,2078.00,25.09.2023
Káva,2551.00,25.09.2023
Nealko,1084.00,25.09.2023
Alkohol,147.00,25.09.2023
Koktejly,1307.00,26.09.2023
Nealko koktejly a vina,178.00,26.09.2023
Zmrzlina,665.00,26.09.2023
Dorty,1604.00,26.09.2023
Káva,3480.00,26.09.2023
Nealko,1373.00,26.09.2023
Alkohol,120.00,26.09.2023
Ostatní základní sazba,3.30,26.09.2023
Slané,129.00,27.09.2023
Koktejly,882.00,27.09.2023
Nealko koktejly a vina,405.00,27.09.2023
Zmrzlina,700.00,27.09.2023
Dorty,2598.80,27.09.2023
Káva,4080.00,27.09.2023
Nealko,1673.00,27.09.2023
Alkohol,218.00,27.09.2023
Teplé nealko,59.00,27.09.2023
Koktejly,3677.00,28.09.2023
Nealko koktejly a vina,1075.00,28.09.2023
Zmrzlina,4025.00,28.09.2023
Dorty,8841.00,28.09.2023
Káva,14906.00,28.09.2023
Nealko,5313.00,28.09.2023
Alkohol,730.00,28.09.2023
Teplé nealko,118.00,28.09.2023
Ostatní základní sazba,10.00,28.09.2023
Nezaplaceno,483.00,28.09.2023
Slané,208.00,29.09.2023
Koktejly,3277.00,29.09.2023
Nealko koktejly a vina,792.00,29.09.2023
Zmrzlina,2770.00,29.09.2023
Dorty,8251.00,29.09.2023
Káva,10408.00,29.09.2023
Nealko,4334.00,29.09.2023
Alkohol,169.00,29.09.2023
Teplé nealko,295.00,29.09.2023
Nezaplaceno,483.00,29.09.2023
Slané,299.00,30.09.2023
Koktejly,861.00,30.09.2023
Nealko koktejly a vina,315.00,30.09.2023
Zmrzlina,245.00,30.09.2023
Dorty,4480.00,30.09.2023
Káva,4521.00,30.09.2023
Nealko,1295.00,30.09.2023
Alkohol,339.00,30.09.2023
Teplé nealko,413.00,30.09.2023
Ostatní základní sazba,20.00,30.09.2023
Nezaplaceno,483.00,30.09.2023
Koktejly,839.00,01.10.2023
Nealko koktejly a vina,478.00,01.10.2023
Zmrzlina,1400.00,01.10.2023
Dorty,5475.00,01.10.2023
Káva,6906.00,01.10.2023
Nealko,2373.00,01.10.2023
Teplé nealko,295.00,01.10.2023
Nezaplaceno,483.00,01.10.2023
Koktejly,1992.00,02.10.2023
Zmrzlina,775.00,02.10.2023
Dorty,1150.00,02.10.2023
Káva,2954.00,02.10.2023
Nealko,1234.00,02.10.2023
Alkohol,205.00,02.10.2023
Koktejly,751.00,03.10.2023
Nealko koktejly a vina,445.00,03.10.2023
Zmrzlina,280.00,03.10.2023
Dorty,2314.00,03.10.2023
Káva,3490.00,03.10.2023
Nealko,1213.00,03.10.2023
Alkohol,459.00,03.10.2023
Teplé nealko,59.00,03.10.2023
Koktejly,305.00,04.10.2023
Zmrzlina,605.00,04.10.2023
Dorty,1958.00,04.10.2023
Káva,2426.00,04.10.2023
Nealko,751.00,04.10.2023
Teplé nealko,59.00,04.10.2023
Slané,129.00,05.10.2023
Koktejly,674.00,05.10.2023
Zmrzlina,105.00,05.10.2023
Dorty,1083.00,05.10.2023
Káva,2185.00,05.10.2023
Nealko,973.00,05.10.2023
Alkohol,49.00,05.10.2023
Teplé nealko,118.00,05.10.2023
Teplé alkoholické nápoje,68.00,05.10.2023
Slané,258.00,06.10.2023
Koktejly,861.00,06.10.2023
Nealko koktejly a vina,210.00,06.10.2023
Zmrzlina,560.00,06.10.2023
Dorty,1855.00,06.10.2023
Káva,3658.00,06.10.2023
Nealko,947.00,06.10.2023
Teplé nealko,118.00,06.10.2023
Koktejly,664.00,07.10.2023
Nealko koktejly a vina,89.00,07.10.2023
Zmrzlina,880.00,07.10.2023
Dorty,6084.00,07.10.2023
Káva,8901.00,07.10.2023
Nealko,3150.00,07.10.2023
Alkohol,507.00,07.10.2023
Teplé nealko,236.00,07.10.2023
Slané,258.00,08.10.2023
Koktejly,327.00,08.10.2023
Nealko koktejly a vina,388.00,08.10.2023
Zmrzlina,140.00,08.10.2023
Dorty,3204.00,08.10.2023
Káva,2691.00,08.10.2023
Nealko,635.00,08.10.2023
Teplé nealko,177.00,08.10.2023
Ostatní základní sazba,20.00,08.10.2023
Dorty,534.00,09.10.2023
Káva,571.00,09.10.2023
Nealko,49.00,09.10.2023
Alkohol,60.00,09.10.2023
Koktejly,436.00,11.10.2023
Nealko koktejly a vina,89.00,11.10.2023
Dorty,1602.00,11.10.2023
Káva,2358.00,11.10.2023
Nealko,436.00,11.10.2023
Alkohol,247.00,11.10.2023
Slané,158.00,12.10.2023
Koktejly,327.00,12.10.2023
Nealko koktejly a vina,194.00,12.10.2023
Zmrzlina,350.00,12.10.2023
Dorty,2047.00,12.10.2023
Káva,2907.00,12.10.2023
Nealko,827.00,12.10.2023
Alkohol,120.00,12.10.2023
Teplé nealko,118.00,12.10.2023
Koktejly,1913.00,13.10.2023
Zmrzlina,355.00,13.10.2023
Dorty,2092.00,13.10.2023
Káva,3786.00,13.10.2023
Nealko,1082.00,13.10.2023
Alkohol,314.00,13.10.2023
Teplé nealko,295.00,13.10.2023
Slané,129.00,14.10.2023
Koktejly,2669.00,14.10.2023
Nealko koktejly a vina,315.00,14.10.2023
Zmrzlina,595.00,14.10.2023
Dorty,8989.00,14.10.2023
Káva,10100.00,14.10.2023
Nealko,3677.00,14.10.2023
Alkohol,147.00,14.10.2023
Teplé nealko,236.00,14.10.2023
Teplé alkoholické nápoje,65.00,14.10.2023
Ostatní základní sazba,20.00,14.10.2023
Slané,129.00,15.10.2023
Koktejly,773.00,15.10.2023
Dorty,5533.00,15.10.2023
Káva,5699.00,15.10.2023
Nealko,1505.00,15.10.2023
Alkohol,180.00,15.10.2023
Teplé nealko,236.00,15.10.2023
Teplé alkoholické nápoje,594.00,15.10.2023
Ostatní základní sazba,20.00,15.10.2023
Koktejly,436.00,16.10.2023
Zmrzlina,70.00,16.10.2023
Dorty,1068.00,16.10.2023
Káva,1703.00,16.10.2023
Nealko,218.00,16.10.2023
Alkohol,169.00,16.10.2023
Teplé alkoholické nápoje,325.00,16.10.2023
Dorty,507.00,17.10.2023
Káva,1210.50,17.10.2023
Nealko,273.50,17.10.2023
Dorty,712.00,18.10.2023
Káva,1204.00,18.10.2023
Nealko,213.00,18.10.2023
Alkohol,60.00,18.10.2023
Teplé nealko,177.00,18.10.2023
Koktejly,218.00,19.10.2023
Dorty,1157.00,19.10.2023
Káva,1456.00,19.10.2023
Nealko,472.00,19.10.2023
Teplé nealko,236.00,19.10.2023
Teplé alkoholické nápoje,68.00,19.10.2023
Slané,85.00,20.10.2023
Koktejly,544.00,20.10.2023
Nealko koktejly a vina,268.00,20.10.2023
Dorty,2225.00,20.10.2023
Káva,1743.00,20.10.2023
Nealko,428.00,20.10.2023
Alkohol,55.00,20.10.2023
Teplé nealko,236.00,20.10.2023
Teplé alkoholické nápoje,133.00,20.10.2023
Slané,214.00,21.10.2023
Koktejly,2057.00,21.10.2023
Nealko koktejly a vina,584.00,21.10.2023
Dorty,7209.00,21.10.2023
Káva,7307.00,21.10.2023
Nealko,3281.00,21.10.2023
Alkohol,584.00,21.10.2023
Teplé nealko,59.00,21.10.2023
Teplé alkoholické nápoje,65.00,21.10.2023
Nezaplaceno,98.00,21.10.2023
Slané,129.00,22.10.2023
Koktejly,347.00,22.10.2023
Dorty,1439.00,22.10.2023
Káva,1779.00,22.10.2023
Nealko,638.00,22.10.2023
Alkohol,109.00,22.10.2023
Teplé nealko,236.00,22.10.2023
Teplé alkoholické nápoje,65.00,22.10.2023
Koktejly,545.00,24.10.2023
Dorty,356.00,24.10.2023
Káva,1439.00,24.10.2023
Nealko,448.00,24.10.2023
Alkohol,120.00,24.10.2023
Teplé nealko,118.00,24.10.2023
Teplé alkoholické nápoje,79.00,24.10.2023
Koktejly,763.00,25.10.2023
Dorty,994.00,25.10.2023
Káva,1724.00,25.10.2023
Nealko,117.00,25.10.2023
Alkohol,420.00,25.10.2023
Teplé nealko,118.00,25.10.2023
Koktejly,632.00,26.10.2023
Dorty,1513.00,26.10.2023
Káva,2946.00,26.10.2023
Nealko,404.00,26.10.2023
Alkohol,158.00,26.10.2023
Teplé nealko,59.00,26.10.2023
Teplé alkoholické nápoje,237.00,26.10.2023
Koktejly,109.00,27.10.2023
Dorty,1335.00,27.10.2023
Káva,1250.00,27.10.2023
Nealko,281.00,27.10.2023
Alkohol,388.00,27.10.2023
Teplé nealko,118.00,27.10.2023
Teplé alkoholické nápoje,158.00,27.10.2023
Koktejly,4301.00,28.10.2023
Nealko koktejly a vina,194.00,28.10.2023
Dorty,4005.00,28.10.2023
Káva,5994.00,28.10.2023
Nealko,1120.00,28.10.2023
Alkohol,589.00,28.10.2023
Teplé nealko,413.00,28.10.2023
Teplé alkoholické nápoje,395.00,28.10.2023
Koktejly,446.00,29.10.2023
Nealko koktejly a vina,210.00,29.10.2023
Dorty,5103.00,29.10.2023
Káva,6234.00,29.10.2023
Nealko,987.00,29.10.2023
Alkohol,70.00,29.10.2023
Teplé nealko,59.00,29.10.2023
Teplé alkoholické nápoje,316.00,29.10.2023
Ostatní základní sazba,20.00,29.10.2023
Koktejly,218.00,30.10.2023
Nealko koktejly a vina,105.00,30.10.2023
Dorty,801.00,30.10.2023
Káva,740.00,30.10.2023
Nealko,338.00,30.10.2023
Teplé alkoholické nápoje,79.00,30.10.2023
Koktejly,119.00,31.10.2023
Nealko koktejly a vina,89.00,31.10.2023
Dorty,623.00,31.10.2023
Káva,278.00,31.10.2023
Nealko,293.00,31.10.2023
Teplé nealko,59.00,31.10.2023
Koktejly,109.00,01.11.2023
Dorty,89.00,01.11.2023
Káva,542.00,01.11.2023
Nealko,39.00,01.11.2023
Koktejly,218.00,02.11.2023
Dorty,1068.00,02.11.2023
Káva,1137.00,02.11.2023
Nealko,209.00,02.11.2023
Teplé nealko,59.00,02.11.2023
Slané,170.00,03.11.2023
Koktejly,109.00,03.11.2023
Dorty,267.00,03.11.2023
Káva,857.00,03.11.2023
Nealko,144.00,03.11.2023
Teplé nealko,59.00,03.11.2023
Slané,85.00,04.11.2023
Koktejly,1498.00,04.11.2023
Nealko koktejly a vina,105.00,04.11.2023
Dorty,3649.00,04.11.2023
Káva,4857.00,04.11.2023
Nealko,744.00,04.11.2023
Alkohol,147.00,04.11.2023
Teplé nealko,413.00,04.11.2023
Teplé alkoholické nápoje,837.00,04.11.2023
Slané,129.00,05.11.2023
Koktejly,109.00,05.11.2023
Dorty,1869.00,05.11.2023
Káva,2749.00,05.11.2023
Nealko,492.00,05.11.2023
Alkohol,240.00,05.11.2023
Teplé nealko,177.00,05.11.2023
Teplé alkoholické nápoje,79.00,05.11.2023
Ostatní základní sazba,10.00,05.11.2023
Koktejly,327.00,08.11.2023
Dorty,178.00,08.11.2023
Káva,375.00,08.11.2023
Nealko,117.00,08.11.2023
Teplé nealko,118.00,08.11.2023
Teplé alkoholické nápoje,79.00,08.11.2023
Koktejly,228.00,09.11.2023
Dorty,445.00,09.11.2023
Káva,1114.00,09.11.2023
Teplé nealko,118.00,09.11.2023
Nezaplaceno,299.00,09.11.2023
Koktejly,654.00,10.11.2023
Dorty,540.40,10.11.2023
Káva,519.00,10.11.2023
Nealko,323.00,10.11.2023
Teplé nealko,177.00,10.11.2023
Teplé alkoholické nápoje,79.00,10.11.2023
Koktejly,436.00,11.11.2023
Dorty,2314.00,11.11.2023
Káva,3117.00,11.11.2023
Nealko,718.00,11.11.2023
Alkohol,85.00,11.11.2023
Teplé nealko,59.00,11.11.2023
Teplé alkoholické nápoje,316.00,11.11.2023
Nezaplaceno,52.00,11.11.2023
Koktejly,218.00,12.11.2023
Nealko koktejly a vina,105.00,12.11.2023
Dorty,3115.00,12.11.2023
Káva,3470.00,12.11.2023
Nealko,673.00,12.11.2023
Alkohol,140.00,12.11.2023
Teplé nealko,590.00,12.11.2023
Teplé alkoholické nápoje,599.00,12.11.2023
Ostatní základní sazba,10.00,12.11.2023
Koktejly,109.00,15.11.2023
Dorty,163.00,15.11.2023
Káva,432.00,15.11.2023
Teplé alkoholické nápoje,79.00,15.11.2023
Koktejly,238.00,16.11.2023
Dorty,445.00,16.11.2023
Káva,908.00,16.11.2023
Nealko,186.00,16.11.2023
Teplé alkoholické nápoje,226.00,16.11.2023
Nezaplaceno,305.00,16.11.2023
Slané,129.00,17.11.2023
Dorty,2759.00,17.11.2023
Káva,2465.00,17.11.2023
Nealko,397.00,17.11.2023
Alkohol,180.00,17.11.2023
Teplé nealko,354.00,17.11.2023
Teplé alkoholické nápoje,305.00,17.11.2023
Nezaplaceno,753.00,17.11.2023
Slané,129.00,18.11.2023
Koktejly,2210.00,18.11.2023
Dorty,4109.00,18.11.2023
Káva,4522.00,18.11.2023
Nealko,1107.00,18.11.2023
Alkohol,707.00,18.11.2023
Teplé nealko,590.00,18.11.2023
Teplé alkoholické nápoje,1095.00,18.11.2023
Nezaplaceno,753.00,18.11.2023
Slané,59.50,19.11.2023
Dorty,1014.50,19.11.2023
Káva,1099.00,19.11.2023
Nealko,160.00,19.11.2023
Alkohol,180.00,19.11.2023
Teplé nealko,59.00,19.11.2023
Teplé alkoholické nápoje,226.00,19.11.2023
Koktejly,327.00,23.11.2023
Nealko koktejly a vina,105.00,23.11.2023
Dorty,1780.00,23.11.2023
Káva,1283.00,23.11.2023
Alkohol,561.00,23.11.2023
Teplé nealko,236.00,23.11.2023
Nealko koktejly a vina,267.00,24.11.2023
Dorty,356.00,24.11.2023
Káva,990.00,24.11.2023
Nealko,39.00,24.11.2023
Koktejly,109.00,25.11.2023
Nealko koktejly a vina,90.00,25.11.2023
Dorty,1691.00,25.11.2023
Káva,1977.00,25.11.2023
Nealko,479.00,25.11.2023
Alkohol,120.00,25.11.2023
Teplé nealko,236.00,25.11.2023
Teplé alkoholické nápoje,68.00,25.11.2023
Dorty,1691.00,26.11.2023
Káva,1382.00,26.11.2023
Nealko,300.00,26.11.2023
Teplé nealko,118.00,26.11.2023
Dorty,623.00,29.11.2023
Káva,558.00,29.11.2023
Teplé nealko,118.00,29.11.2023
Koktejly,327.00,29.11.2023
Dorty,89.00,29.11.2023
Káva,195.00,29.11.2023
Nezaplaceno,588.00,29.11.2023
Slané,450.00,30.11.2023
Dorty,712.00,30.11.2023
Káva,567.00,30.11.2023
Nealko,254.00,30.11.2023
Alkohol,196.00,30.11.2023
Koktejly,654.00,02.12.2023
Nealko koktejly a vina,525.00,02.12.2023
Dorty,712.00,02.12.2023
Káva,1261.10,02.12.2023
Nealko,250.00,02.12.2023
Alkohol,490.00,02.12.2023
Teplé nealko,708.00,02.12.2023
Teplé alkoholické nápoje,68.00,02.12.2023
Dorty,89.00,07.12.2023
Káva,690.00,07.12.2023
Nealko,25.00,07.12.2023
Alkohol,120.00,07.12.2023
Teplé nealko,177.00,07.12.2023
Koktejly,109.00,08.12.2023
Dorty,178.00,08.12.2023
Káva,430.00,08.12.2023
Nealko,49.00,08.12.2023
Teplé alkoholické nápoje,553.00,08.12.2023
Koktejly,109.00,09.12.2023
Nealko koktejly a vina,105.00,09.12.2023
Dorty,1157.00,09.12.2023
Káva,1513.00,09.12.2023
Nealko,414.00,09.12.2023
Alkohol,488.00,09.12.2023
Teplé alkoholické nápoje,237.00,09.12.2023
Dorty,1424.00,10.12.2023
Káva,459.00,10.12.2023
Nealko,219.00,10.12.2023
Teplé nealko,118.00,10.12.2023
Teplé alkoholické nápoje,158.00,10.12.2023
